tanggal_lengkap,cabe_rawit_merah,lag_1
2023-11-27,80000.0,80000.0
2023-11-28,80000.0,80000.0
2023-11-29,82000.0,80000.0
2023-11-30,80000.0,82000.0
2023-12-01,80000.0,80000.0
2023-12-02,80000.0,80000.0
2023-12-03,80000.0,80000.0
2023-12-04,83000.0,80000.0
2023-12-05,85000.0,83000.0
2023-12-06,85000.0,85000.0
2023-12-07,85000.0,85000.0
2023-12-08,85000.0,85000.0
2023-12-09,85000.0,85000.0
2023-12-10,85000.0,85000.0
2023-12-11,85000.0,85000.0
2023-12-12,85000.0,85000.0
2023-12-13,88000.0,85000.0
2023-12-14,88000.0,88000.0
2023-12-15,75000.0,88000.0
2023-12-16,75000.0,75000.0
2023-12-17,75000.0,75000.0
2023-12-18,75000.0,75000.0
2023-12-19,75000.0,75000.0
2023-12-20,73000.0,75000.0
2023-12-21,73000.0,73000.0
2023-12-22,70000.0,73000.0
2023-12-23,70000.0,70000.0
2023-12-24,70000.0,70000.0
2023-12-25,70000.0,70000.0
2023-12-26,70000.0,70000.0
2023-12-27,70000.0,70000.0
2023-12-28,70000.0,70000.0
2023-12-29,70000.0,70000.0
2023-12-30,75000.0,70000.0
2023-12-31,70000.0,75000.0
2024-01-01,40000.0,70000.0
2024-01-02,40000.0,40000.0
2024-01-03,40000.0,40000.0
2024-01-04,45000.0,40000.0
2024-01-05,45000.0,45000.0
2024-01-06,45000.0,45000.0
2024-01-07,45000.0,45000.0
2024-01-08,45000.0,45000.0
2024-01-09,45000.0,45000.0
2024-01-10,55000.0,45000.0
2024-01-11,55000.0,55000.0
2024-01-12,55000.0,55000.0
2024-01-13,55000.0,55000.0
2024-01-14,55000.0,55000.0
2024-01-15,55000.0,55000.0
2024-01-16,55000.0,55000.0
2024-01-17,55000.0,55000.0
2024-01-18,55000.0,55000.0
2024-01-19,55000.0,55000.0
2024-01-20,55000.0,55000.0
2024-01-21,55000.0,55000.0
2024-01-22,65000.0,55000.0
2024-01-23,65000.0,65000.0
2024-01-24,70000.0,65000.0
2024-01-25,75000.0,70000.0
2024-01-26,75000.0,75000.0
2024-01-27,75000.0,75000.0
2024-01-28,75000.0,75000.0
2024-01-29,80000.0,75000.0
2024-01-30,80000.0,80000.0
2024-01-31,80000.0,80000.0
2024-02-01,80000.0,80000.0
2024-02-02,80000.0,80000.0
2024-02-03,80000.0,80000.0
2024-02-04,80000.0,80000.0
2024-02-05,80000.0,80000.0
2024-02-06,80000.0,80000.0
2024-02-07,80000.0,80000.0
2024-02-08,80000.0,80000.0
2024-02-09,80000.0,80000.0
2024-02-10,80000.0,80000.0
2024-02-11,80000.0,80000.0
2024-02-12,70000.0,80000.0
2024-02-13,70000.0,70000.0
2024-02-14,60000.0,70000.0
2024-02-15,60000.0,60000.0
2024-02-16,60000.0,60000.0
2024-02-17,60000.0,60000.0
2024-02-18,60000.0,60000.0
2024-02-19,66667.0,60000.0
2024-02-20,66667.0,66667.0
2024-02-21,66667.0,66667.0
2024-02-22,60000.0,66667.0
2024-02-23,60000.0,60000.0
2024-02-24,60000.0,60000.0
2024-02-25,60000.0,60000.0
2024-02-26,40000.0,60000.0
2024-02-27,40000.0,40000.0
2024-02-28,40000.0,40000.0
2024-02-29,40000.0,40000.0
2024-03-01,40000.0,40000.0
